customer_id,customer_name,email,transaction_id,purchase_date,total_amount,product_id,product_name,price
77,Customer_77,customer77@example.com,77,2023-12-09,53.21,20,Product_20,30.1
78,Customer_78,customer78@example.com,78,2023-12-03,58.33,8,Product_8,9.39
79,Customer_79,customer79@example.com,79,2023-04-17,21.03,10,Product_10,32.98
80,Customer_80,customer80@example.com,80,2023-01-23,92.54,18,Product_18,43.84
81,Customer_81,customer81@example.com,81,2023-01-07,69.24,10,Product_10,12.09
82,Customer_82,customer82@example.com,82,2023-04-15,142.31,1,Product_1,49.66
83,Customer_83,customer83@example.com,83,2023-11-20,81.77,20,Product_20,8.83
84,Customer_84,customer84@example.com,84,2023-09-09,44.12,5,Product_5,9.25
85,Customer_85,customer85@example.com,85,2023-09-03,14.69,18,Product_18,33.51
86,Customer_86,customer86@example.com,86,2023-04-03,22.78,17,Product_17,47.72
87,Customer_87,customer87@example.com,87,2023-12-14,139.08,4,Product_4,47.15
88,Customer_88,customer88@example.com,88,2023-01-09,96.2,11,Product_11,25.13
89,Customer_89,customer89@example.com,89,2023-09-20,111.95,2,Product_2,37.75
90,Customer_90,customer90@example.com,90,2023-09-27,180.37,5,Product_5,38.4
91,Customer_91,customer91@example.com,91,2023-03-25,198.16,5,Product_5,18.81
92,Customer_92,customer92@example.com,92,2023-05-04,51.21,17,Product_17,10.39
93,Customer_93,customer93@example.com,93,2023-01-05,135.98,17,Product_17,24.97
94,Customer_94,customer94@example.com,94,2023-04-14,60.03,16,Product_16,22.63
95,Customer_95,customer95@example.com,95,2023-12-23,13.92,11,Product_11,28.93
96,Customer_96,customer96@example.com,96,2023-10-14,154.09,14,Product_14,43.04
97,Customer_97,customer97@example.com,97,2023-12-25,70.8,9,Product_9,29.13
98,Customer_98,customer98@example.com,98,2023-01-25,82.86,12,Product_12,35.61
99,Customer_99,customer99@example.com,99,2023-06-15,121.78,7,Product_7,32.41
100,Customer_100,customer100@example.com,100,2023-10-17,167.9,10,Product_10,9.43
